"","Constituent","parameter","Laboratory Grade At-Line","Low Cost Grade At-Line","NA"
"1","glucose_gperL","mean",30.1336202911181,29.7892219567825,40.3469968964389
"2","glucose_gperL","median",20.63,19.64,24.4777538840744
"3","glucose_gperL","sd",31.5021820811377,33.1118255278965,39.6399383681529
"4","glucose_gperL","IQR",51.015,52.295,71.1976991576769
"5","glucose_gperL","min",0,0,0
"6","glucose_gperL","max",125.05,125.05,131.58
"7","xylose_gperL","mean",28.0223473901693,23.7584298777421,33.5523471902863
"8","xylose_gperL","median",31.855,18.44,36.665
"9","xylose_gperL","sd",18.0441759093992,18.3155496038224,16.8578991731129
"10","xylose_gperL","IQR",31.3375,31.905,28.28
"11","xylose_gperL","min",0.07,0.3,0.61
"12","xylose_gperL","max",71.37,66.72,61.33
"13","totalBDO_gperL","mean",37.560067440009,25.4036288567919,45.7828543071213
"14","totalBDO_gperL","median",29.24,19.07,36.6356633426839
"15","totalBDO_gperL","sd",34.4710228839691,26.2400446909177,42.4252003339995
"16","totalBDO_gperL","IQR",50.3275,32.07,56.6405355964135
"17","totalBDO_gperL","min",0,0.88,0.812172710691213
"18","totalBDO_gperL","max",169.57,138.81,143.734951355187
"19","acetoin_gperL","mean",5.12532845063761,5.32745284020413,9.26081828717994
"20","acetoin_gperL","median",1.525,1.15,3.82837219859437
"21","acetoin_gperL","sd",7.24746394733343,7.76601999657263,11.2599061731101
"22","acetoin_gperL","IQR",7.765,8.945,12.48
"23","acetoin_gperL","min",0,0.05,0.10311056902734
"24","acetoin_gperL","max",41.01,41.01,47.8615422739449
"25","glycerol_gperL","mean",4.10566781584303,2.75077223524983,5.3342993109305
"26","glycerol_gperL","median",2.425,2.08,4.68
"27","glycerol_gperL","sd",4.8454206999187,2.69565439398031,4.92382946716091
"28","glycerol_gperL","IQR",3.95,3.695,6.73
"29","glycerol_gperL","min",0,0.11,0.19
"30","glycerol_gperL","max",22.74,13.1,21.8963745556253
"31","All","n",700,363,112
